"","Code","Year","TFR","C","W15","W20","W25","W30","W35","W40","W45","W","iTFR","p2534","qx","ex","lagTFR"
"1","AUT",1951,2.021,519897,219734.5,246460,295508,205413,269071.5,294979,286984.5,1818150.5,2.00163792821331,0.275511295682068,0.05986,65.23,NA
"2","AUT",1952,2.061,521442,212146,237360,286867,228451,245720,292318,287811,1790673,2.03839226927529,0.287778952382708,0.05207,66.76,NA
"3","AUT",1953,2.094,503688,205720,232131,273394,256907,216768,291461,287131,1763512,1.99931500324353,0.300707338538099,0.04979,67.25,NA
"4","AUT",1954,2.156,491509,206080,225347,260545,283314,192129,288318,287382,1743115,1.97380149904051,0.312004084641576,0.0484,67.29,NA
"5","AUT",1955,2.289,487230,227484,218913,248554,293583,182680,283276,287606,1742096,1.95776237360054,0.311198119965834,0.04637,67.56,2.1242
"6","AUT",1956,2.486,491073,252557,209773,238594,289608,198203,264266,289263,1742264,1.97301384864751,0.303169898476924,0.04444,67.68,2.2172
"7","AUT",1957,2.572,505981,272887,202458,230049,279491,223138,240227,285263,1733513,2.04317302494991,0.293934917130705,0.04451,67.44,2.3194
"8","AUT",1958,2.6,522818,286011,197083,225082,266603,251245,212106,284523,1722653,2.12447080172269,0.285423123519362,0.04073,68.46,2.4206
"9","AUT",1959,2.688,540564,295258,198003,218059,253862,277034,187916,281411,1711543,2.21084016001935,0.275728392450555,0.04035,68.39,2.527
"10","AUT",1960,2.696,561333,284800,220717,211489,242448,287231,178669,276707,1702061,2.30857237196552,0.266698432077346,0.03755,68.75,2.6084
"11","AUT",1961,2.786,580476,258697,247778,203587,233564,284133,194431,258508,1680698,2.417645525847,0.26010086285579,0.03329,69.72,2.6684
"12","AUT",1962,2.8,596764,242949,269190,198650,226737,275519,219852,235822,1668719,2.50332620411226,0.254918293613245,0.03292,69.5,2.714
"13","AUT",1963,2.821,611933,243665,281877,194501,222644,263426,247965,208452,1662530,2.57651350652319,0.250909758019404,0.03134,69.64,2.7582
"14","AUT",1964,2.795,627699,243180,290284,196822,216896,251929,273979,185058,1658148,2.64987986597095,0.249506075452855,0.02903,70.13,2.7796
"15","AUT",1965,2.703,638287,240277,278634,219096,211092,241120,284436,176258,1650913,2.70638670844557,0.260575814715857,0.02775,69.93,2.781
"16","AUT",1966,2.663,642955,249850,252363,244887,204054,232971,281977,191951,1658053,2.71443976760695,0.270763962310011,0.02783,70.24,2.7564
"17","AUT",1967,2.621,641479,252340,238679,266200,199570,226909,273893,217522,1675113,2.6806269189004,0.27805288359651,0.0262,70.12,2.7206
"18","AUT",1968,2.586,637779,245026,242440,278629,195756,223386,262620,245479,1693336,2.63648384018293,0.280148180869007,0.02531,70.27,2.6736
"19","AUT",1969,2.488,629166,244492,243152,285084,197280,217406,251396,270936,1709746,2.57591595476755,0.282126116978779,0.02492,70.04,2.6122
"20","AUT",1970,2.292,616606,245387,242681,273634,218728,211850,240852,281392,1714524,2.5174579066843,0.287171249862936,0.02487,70.09,2.53
"21","AUT",1971,2.2,599984,249052,255247,248118,242975,204883,232796,279103,1712174,2.45295630000222,0.286824236321776,0.02556,70.3,2.4374
"22","AUT",1972,2.085,582466,257040,260937,236556,263681,200186,226905,271205,1716510,2.37532085452459,0.291426790406115,0.02456,70.62,2.3302
"23","AUT",1973,1.938,561071,265165,258783,243384,276318,196423,223276,260277,1723626,2.27862482928431,0.301516686334506,0.02298,71.2,2.2006
"24","AUT",1974,1.908,534315,274437,257569,248959,285160,198741,217795,249703,1732364,2.1590179662011,0.308317997834173,0.02334,71.18,2.0846
"25","AUT",1975,1.827,508919,282638,255745,248745,274495,219464,211842,238926,1731855,2.05700419492394,0.302126910162802,0.0202,71.32,1.9916
"26","AUT",1976,1.688,487647,291022,255825,259006,249249,242938,204103,230534,1732677,1.97008963586404,0.293335110929504,0.01759,71.8,1.8892
"27","AUT",1977,1.631,467621,300292,263191,262161,236877,263203,198979,224342,1749045,1.87150530718192,0.285320274778522,0.01657,72.15,1.7984
"28","AUT",1978,1.604,450718,309493,271316,257444,242133,274978,194879,220569,1770812,1.78168320521885,0.282117469273983,0.01494,72.21,1.7316
"29","AUT",1979,1.598,438645,317628,279110,252842,245134,282632,196225,214861,1788432,1.71687545291071,0.278442792345474,0.01481,72.55,1.6696
"30","AUT",1980,1.652,429620,323389,288813,252330,245300,272429,217395,209181,1808837,1.66258209003907,0.275110471535025,0.01448,72.69,1.6346
"31","AUT",1981,1.674,430534,325726,298726,255280,256567,248391,241745,202222,1828657,1.64806084465266,0.279903229528556,0.01265,72.99,1.6318
"32","AUT",1982,1.661,438906,325292,307027,265158,260042,236089,262245,197494,1853347,1.65772626496819,0.283379205297227,0.01276,73.15,1.6378
"33","AUT",1983,1.559,446327,321345,313217,271725,253743,239966,272913,192774,1865683,1.67460870898218,0.281649133320076,0.01154,73.22,1.6288
"34","AUT",1984,1.522,451962,316576,320535,279725,249977,243125,280523,194267,1884728,1.67861569414791,0.281049573201014,0.0113,73.77,1.6136
"35","AUT",1985,1.474,456409,310680,325984,288614,250291,243248,270445,215095,1904357,1.67765970351147,0.282985280596023,0.01099,73.99,1.578
"36","AUT",1986,1.449,453329,302421,328100,297068,253558,254614,246213,239110,1921084,1.65182938382705,0.286622552683797,0.01017,74.46,1.533
"37","AUT",1987,1.432,447961,293316,326873,304093,262403,257311,233529,258920,1936445,1.61932148860412,0.29254432736277,0.00973,74.91,1.4872
"38","AUT",1988,1.447,441200,280825,322831,310700,270331,252310,238499,270288,1945784,1.58722653696402,0.298610226006587,0.00815,75.38,1.4648
"39","AUT",1989,1.446,440612,266850,319930,319061,278828,249140,242130,277681,1953620,1.5787532887665,0.306041604815675,0.00828,75.47,1.4496
"40","AUT",1990,1.457,443189,256295,318158,328269,289422,251144,243214,268311,1954813,1.58701778635604,0.315984700326834,0.00784,75.74,1.4462
"41","AUT",1991,1.507,449804,248383,314416,335644,300651,256551,255656,244919,1956220,1.60954698346812,0.325267607937757,0.0076,75.8,1.4578
"42","AUT",1992,1.505,460519,239952,310909,341341,311757,268506,259879,233643,1965987,1.63970209365576,0.332198534374846,0.00754,76,1.4724
"43","AUT",1993,1.501,470159,233656,304522,344837,323806,279168,257161,239522,1982672,1.6599382046047,0.337243376614992,0.00649,76.23,1.4832
"44","AUT",1994,1.465,473963,228436,291958,344147,334519,289212,255233,243532,1987037,1.66969261266901,0.341546735163965,0.00617,76.55,1.487
"45","AUT",1995,1.423,473169,223293,277895,339279,341471,298360,256129,244577,1981004,1.67197188900174,0.343638882102207,0.00531,76.78,1.4802
"46","AUT",1996,1.446,469332,222796,266751,330692,345083,307120,260495,256292,1989229,1.65155645730079,0.339717046152052,0.00506,77.04,1.468
"47","AUT",1997,1.393,461292,226223,254409,322163,346745,314773,270509,259448,1994270,1.61916089596695,0.335414963871492,0.00458,77.43,1.4456
"48","AUT",1998,1.37,449613,231072,243395,311442,346300,323406,278626,255656,1989897,1.58163512985848,0.330540726479813,0.00479,77.79,1.4194
