"","this_race","this_income","xTFR","Q05","Q95"
"1","White","<25",2.12834246596864,2.08755279527445,2.16916480892492
"2","Non-White","<25",2.60450067872764,2.53274205612589,2.67667310892803
"3","White","25-50",1.92200447340364,1.89220784368528,1.95256525428017
"4","Non-White","25-50",2.00747590817935,1.94925918608245,2.0638669926945
"5","White","50-75",1.74652252085085,1.71683800488767,1.77926949227286
"6","Non-White","50-75",1.80926096015165,1.74434674434909,1.86761435510734
"7","White","75-100",1.70129410127427,1.66948076391297,1.73428301985417
"8","Non-White","75-100",1.90666885717174,1.82255297886351,1.98336987078378
"9","White","100-150",1.73659579816509,1.70569692957676,1.76922002895978
"10","Non-White","100-150",1.79881567503525,1.72524889742459,1.87709508453186
"11","White","150-200",1.70660000877199,1.65225039808734,1.7605191757738
"12","Non-White","150-200",1.85164757050001,1.74307335475534,1.97441853504191
"13","White","200-250",1.63780920730133,1.55545115884981,1.72618222176497
"14","Non-White","200-250",2.13369653930026,1.95027995825397,2.31746307633189
"15","White","250-300",1.95129295268466,1.81884101710011,2.08207205798755
"16","Non-White","250-300",2.26245374422852,2.00303617421036,2.52307501493469
"17","White",">300",2.08717607033144,1.98613038970531,2.20536241328095
"18","Non-White",">300",2.52109800110109,2.27598762547192,2.76789547488817
