SurveyId,C,SurveyYearLabel,SurveyYear,DHS_CountryCode,CountryName
AF2015DHS,30304,2015,2015,AF,Afghanistan
AL2017DHS,2550,2017-18,2017,AL,Albania
AO2006MIS,2310,2006-07,2006,AO,Angola
AO2011MIS,7782,2011,2011,AO,Angola
AO2015DHS,12669,2015-16,2015,AO,Angola
BF2003DHS,9477,2003,2003,BF,Burkina Faso
BF2010DHS,14001,2010,2010,BF,Burkina Faso
BF2014MIS,6268,2014,2014,BF,Burkina Faso
BJ2006DHS,14563,2006,2006,BJ,Benin
BJ2012DHS,12497,2011-12,2012,BJ,Benin
BJ2017DHS,12686,2017-18,2017,BJ,Benin
BU2010DHS,7418,2010,2010,BU,Burundi
BU2012MIS,4216,2012,2012,BU,Burundi
BU2016DHS,12813,2016-17,2016,BU,Burundi
CD2007DHS,8009,2007,2007,CD,Congo Democratic Republic
CD2013DHS,17017,2013-14,2013,CD,Congo Democratic Republic
CG2005DHS,4515,2005,2005,CG,Congo
CG2011DHS,7751,2011-12,2011,CG,Congo
CI2012DHS,6862,2011-12,2012,CI,Cote d'Ivoire
CM2004DHS,7273,2004,2004,CM,Cameroon
CM2011DHS,10718,2011,2011,CM,Cameroon
ET2005DHS,10109,2005,2005,ET,Ethiopia
ET2016DHS,10417,2016,2016,ET,Ethiopia
GA2012DHS,4848,2012,2012,GA,Gabon
GH2003DHS,3340,2003,2003,GH,Ghana
GH2008DHS,2731,2008,2008,GH,Ghana
GH2014DHS,5431,2014,2014,GH,Ghana
GH2016MIS,3121,2016,2016,GH,Ghana
GM2013DHS,7586,2013,2013,GM,Gambia
GN2005DHS,5647,2005,2005,GN,Guinea
GN2012DHS,6448,2012,2012,GN,Guinea
GY2009DHS,1815,2009,2009,GY,Guyana
HT2012DHS,6410,2012,2012,HT,Haiti
HT2016DHS,5867,2016-17,2016,HT,Haiti
IA2015DHS,238945,2015-16,2015,IA,India
ID2007DHS,15925,2007,2007,ID,Indonesia
JO2017DHS,9454,2017-18,2017,JO,Jordan
KE2003DHS,5560,2003,2003,KE,Kenya
KE2008DHS,5481,2008-09,2008,KE,Kenya
KE2014DHS,18702,2014,2014,KE,Kenya
KE2015MIS,3168,2015,2015,KE,Kenya
KH2005DHS,7271,2005,2005,KH,Cambodia
KM2012DHS,3099,2012,2012,KM,Comoros
LB2009MIS,3694,2009,2009,LB,Liberia
LB2011MIS,2876,2011,2011,LB,Liberia
LB2013DHS,6047,2013,2013,LB,Liberia
LB2016MIS,2705,2016,2016,LB,Liberia
MD2008DHS,11976,2008-09,2008,MD,Madagascar
MD2011MIS,6377,2011,2011,MD,Madagascar
MD2013MIS,5385,2013,2013,MD,Madagascar
MD2016MIS,6810,2016,2016,MD,Madagascar
ML2006DHS,12523,2006,2006,ML,Mali
ML2012DHS,9655,2012-13,2012,ML,Mali
ML2015MIS,7439,2015,2015,ML,Mali
MM2016DHS,4099,2015-16,2016,MM,Myanmar
MW2004DHS,9777,2004,2004,MW,Malawi
MW2010DHS,18013,2010,2010,MW,Malawi
MW2012MIS,2362,2012,2012,MW,Malawi
MW2014MIS,2210,2014,2014,MW,Malawi
MW2015DHS,16548,2015-16,2015,MW,Malawi
MW2017MIS,2598,2017,2017,MW,Malawi
MZ2011DHS,10835,2011,2011,MZ,Mozambique
MZ2015AIS,5313,2015,2015,MZ,Mozambique
NG2003DHS,5345,2003,2003,NG,Nigeria
NG2008DHS,24975,2008,2008,NG,Nigeria
NG2010MIS,5519,2010,2010,NG,Nigeria
NG2013DHS,28950,2013,2013,NG,Nigeria
NG2015MIS,6364,2015,2015,NG,Nigeria
NI2006DHS,8727,2006,2006,NI,Niger
NI2012DHS,12268,2012,2012,NI,Niger
NM2006DHS,4719,2006-07,2006,NM,Namibia
NM2013DHS,4588,2013,2013,NM,Namibia
PH2017DHS,9670,2017,2017,PH,Philippines
PK2006DHS,8367,2006-07,2006,PK,Pakistan
PK2017DHS,9800,2017-18,2017,PK,Pakistan
RW2005DHS,7797,2005,2005,RW,Rwanda
RW2008DHS,5241,2007-08,2008,RW,Rwanda
RW2010DHS,8605,2010,2010,RW,Rwanda
RW2013MIS,3074,2013,2013,RW,Rwanda
RW2015DHS,7694,2014-15,2015,RW,Rwanda
RW2017MIS,2929,2017,2017,RW,Rwanda
SL2008DHS,5213,2008,2008,SL,Sierra Leone
SL2013DHS,10814,2013,2013,SL,Sierra Leone
SL2016MIS,5804,2016,2016,SL,Sierra Leone
SN2005DHS,9709,2005,2005,SN,Senegal
SN2006MIS,4363,2006,2006,SN,Senegal
SN2008MIS,13316,2008-09,2008,SN,Senegal
SN2010DHS,10893,2010-11,2010,SN,Senegal
SN2012DHS,6078,2012-13,2012,SN,Senegal
SN2014DHS,5942,2014,2014,SN,Senegal
SN2015DHS,6064,2015,2015,SN,Senegal
SN2016DHS,5829,2016,2016,SN,Senegal
SN2017DHS,10763,2017,2017,SN,Senegal
ST2008DHS,1749,2008-09,2008,ST,Sao Tome and Principe
SZ2006DHS,2553,2006-07,2006,SZ,Eswatini
TD2014DHS,16810,2014-15,2014,TD,Chad
TG2013DHS,6286,2013-14,2013,TG,Togo
TG2017MIS,3141,2017,2017,TG,Togo
TJ2017DHS,6296,2017,2017,TJ,Tajikistan
TL2009DHS,9328,2009-10,2009,TL,Timor-Leste
TL2016DHS,7069,2016,2016,TL,Timor-Leste
TZ2004DHS,7976,2004-05,2004,TZ,Tanzania
TZ2007AIS,7139,2007-08,2007,TZ,Tanzania
TZ2010DHS,7667,2010,2010,TZ,Tanzania
TZ2012AIS,8216,2011-12,2012,TZ,Tanzania
TZ2015DHS,9520,2015-16,2015,TZ,Tanzania
TZ2017MIS,7218,2017,2017,TZ,Tanzania
UG2006DHS,7664,2006,2006,UG,Uganda
UG2009MIS,3727,2009,2009,UG,Uganda
UG2011DHS,7535,2011,2011,UG,Uganda
UG2014MIS,4558,2014-15,2014,UG,Uganda
UG2016DHS,14493,2016,2016,UG,Uganda
ZM2002DHS,5787,2001-02,2002,ZM,Zambia
ZM2007DHS,5861,2007,2007,ZM,Zambia
ZM2013DHS,12634,2013-14,2013,ZM,Zambia
ZW2005DHS,4871,2005-06,2005,ZW,Zimbabwe
