"","Code","Year","iTFR","lagTFR","post_mean","Q10","Q25","Q50","Q75","Q90","n_eff","Rhat"
"1","AUT",1951,2.002,NA,2.167,2.108,2.128,2.158,2.195,2.238,487.095,1
"2","AUT",1952,2.038,NA,2.171,2.115,2.138,2.164,2.197,2.237,586.584,1.003
"3","AUT",1953,1.999,NA,2.11,2.055,2.075,2.101,2.139,2.177,600,1.002
"4","AUT",1954,1.974,NA,2.077,2.023,2.044,2.07,2.104,2.141,559.007,0.999
"5","AUT",1955,1.958,2.124,2.076,2.023,2.043,2.071,2.103,2.137,600,1.004
"6","AUT",1956,1.973,2.217,2.112,2.064,2.08,2.108,2.137,2.163,417.532,1.001
"7","AUT",1957,2.043,2.319,2.209,2.155,2.177,2.205,2.236,2.27,600,1.001
"8","AUT",1958,2.124,2.421,2.296,2.239,2.263,2.293,2.321,2.356,576.192,0.997
"9","AUT",1959,2.211,2.527,2.398,2.342,2.364,2.393,2.429,2.458,600,0.996
"10","AUT",1960,2.309,2.608,2.486,2.436,2.456,2.48,2.514,2.54,560.39,0.999
"11","AUT",1961,2.418,2.668,2.571,2.526,2.544,2.567,2.596,2.623,548.014,1
"12","AUT",1962,2.503,2.714,2.641,2.594,2.614,2.639,2.666,2.69,492.242,1.004
"13","AUT",1963,2.577,2.758,2.713,2.664,2.686,2.714,2.736,2.767,555.092,0.998
"14","AUT",1964,2.65,2.78,2.781,2.731,2.752,2.779,2.81,2.838,537.204,0.997
"15","AUT",1965,2.706,2.781,2.804,2.751,2.777,2.803,2.833,2.859,572.491,0.998
"16","AUT",1966,2.714,2.756,2.823,2.77,2.793,2.821,2.855,2.879,457.474,1.007
"17","AUT",1967,2.681,2.721,2.793,2.745,2.766,2.791,2.819,2.846,493.957,1.008
"18","AUT",1968,2.636,2.674,2.751,2.693,2.718,2.75,2.781,2.817,426.817,1.006
"19","AUT",1969,2.576,2.612,2.702,2.643,2.667,2.695,2.733,2.766,432.247,1.007
"20","AUT",1970,2.517,2.53,2.635,2.583,2.607,2.635,2.663,2.688,499.127,1.007
"21","AUT",1971,2.453,2.437,2.573,2.519,2.539,2.565,2.597,2.628,67.988,1.076
"22","AUT",1972,2.375,2.33,2.466,2.42,2.439,2.465,2.494,2.518,564.573,0.999
"23","AUT",1973,2.279,2.201,2.332,2.291,2.307,2.33,2.355,2.377,585.105,1.001
"24","AUT",1974,2.159,2.085,2.19,2.146,2.164,2.185,2.21,2.242,500.9,0.997
"25","AUT",1975,2.057,1.992,2.078,2.041,2.056,2.074,2.097,2.119,522.885,1.005
"26","AUT",1976,1.97,1.889,1.992,1.956,1.972,1.988,2.007,2.03,145.272,1.011
"27","AUT",1977,1.872,1.798,1.892,1.852,1.868,1.891,1.91,1.942,83.494,1.046
"28","AUT",1978,1.782,1.732,1.795,1.759,1.775,1.794,1.813,1.829,495.145,1.001
"29","AUT",1979,1.717,1.67,1.735,1.698,1.715,1.734,1.75,1.77,120.498,1.026
"30","AUT",1980,1.663,1.635,1.69,1.65,1.67,1.688,1.71,1.729,82.678,1.035
"31","AUT",1981,1.648,1.632,1.665,1.623,1.644,1.665,1.688,1.708,600,1.005
"32","AUT",1982,1.658,1.638,1.668,1.62,1.642,1.67,1.692,1.711,600,0.999
"33","AUT",1983,1.675,1.629,1.684,1.635,1.659,1.685,1.709,1.734,536.281,1.001
"34","AUT",1984,1.679,1.614,1.684,1.634,1.66,1.684,1.712,1.735,524.225,0.997
"35","AUT",1985,1.678,1.578,1.679,1.621,1.652,1.68,1.707,1.732,600,0.996
"36","AUT",1986,1.652,1.533,1.645,1.594,1.617,1.645,1.673,1.696,460.517,1.004
"37","AUT",1987,1.619,1.487,1.602,1.555,1.578,1.601,1.627,1.649,538.903,1.005
"38","AUT",1988,1.587,1.465,1.561,1.519,1.536,1.56,1.582,1.606,441.012,1.007
"39","AUT",1989,1.579,1.45,1.539,1.501,1.518,1.537,1.559,1.578,472.478,0.998
"40","AUT",1990,1.587,1.446,1.523,1.489,1.503,1.521,1.541,1.562,600,1
"41","AUT",1991,1.61,1.458,1.514,1.487,1.498,1.512,1.529,1.545,503.376,1.007
"42","AUT",1992,1.64,1.472,1.521,1.498,1.506,1.517,1.533,1.55,471.726,0.995
"43","AUT",1993,1.66,1.483,1.53,1.507,1.515,1.526,1.541,1.56,243.403,1.001
"44","AUT",1994,1.67,1.487,1.531,1.508,1.517,1.528,1.543,1.557,567.282,0.999
"45","AUT",1995,1.672,1.48,1.531,1.503,1.515,1.529,1.544,1.562,429.211,1.004
"46","AUT",1996,1.652,1.468,1.532,1.497,1.51,1.526,1.548,1.579,35.581,1.092
"47","AUT",1997,1.619,1.446,1.509,1.474,1.487,1.504,1.528,1.55,545.919,1.005
"48","AUT",1998,1.582,1.419,1.487,1.449,1.462,1.48,1.506,1.53,486.629,1.004
"49","AUT",1999,1.54,1.394,1.463,1.417,1.435,1.458,1.486,1.515,600,0.995
"50","AUT",2000,1.495,1.383,1.432,1.386,1.403,1.428,1.455,1.483,600,0.995
"51","AUT",2001,1.459,1.36,1.416,1.366,1.385,1.412,1.443,1.473,587.862,0.995
"52","AUT",2002,1.405,1.36,1.384,1.332,1.353,1.379,1.41,1.444,600,0.998
"53","AUT",2003,1.387,1.361,1.383,1.337,1.354,1.379,1.408,1.436,600,0.996
"54","AUT",2004,1.369,1.377,1.382,1.334,1.354,1.381,1.408,1.43,520.742,0.999
"55","AUT",2005,1.369,1.386,1.396,1.355,1.372,1.394,1.419,1.441,466.78,0.997
"56","AUT",2006,1.364,1.401,1.404,1.361,1.381,1.403,1.426,1.449,493.674,1
"57","AUT",2007,1.367,1.399,1.418,1.377,1.395,1.416,1.44,1.461,600,0.998
"58","AUT",2008,1.356,1.408,1.413,1.378,1.396,1.413,1.431,1.447,556.295,0.997
"59","AUT",2009,1.357,1.403,1.423,1.39,1.407,1.422,1.439,1.454,593.804,1
"60","AUT",2010,1.352,1.41,1.418,1.394,1.404,1.417,1.433,1.443,600,0.997
"61","AUT",2011,1.359,1.414,1.427,1.403,1.413,1.427,1.438,1.452,472.481,0.999
"62","AUT",2012,1.368,1.425,1.432,1.412,1.421,1.432,1.444,1.454,582.802,0.998
"63","AUT",2013,1.384,1.429,1.439,1.418,1.428,1.439,1.449,1.46,568.719,0.995
"64","AUT",2014,1.398,1.443,1.44,1.424,1.431,1.439,1.45,1.458,577.467,0.999
"65","BLR",1964,2.891,NA,2.661,2.6,2.625,2.655,2.692,2.724,501.307,0.998
"66","BLR",1965,2.774,NA,2.571,2.514,2.535,2.565,2.6,2.637,455.79,1.008
"67","BLR",1966,2.63,NA,2.499,2.44,2.465,2.496,2.532,2.564,548.534,0.995
"68","BLR",1967,2.501,NA,2.418,2.353,2.378,2.412,2.452,2.488,600,0.998
"69","BLR",1968,2.38,2.287,2.377,2.307,2.334,2.372,2.413,2.457,600,0.997
"70","BLR",1969,2.298,2.288,2.353,2.284,2.317,2.352,2.386,2.421,600,0.999
"71","BLR",1970,2.208,2.311,2.321,2.261,2.288,2.32,2.353,2.382,474.253,0.999
"72","BLR",1971,2.133,2.321,2.299,2.255,2.277,2.302,2.321,2.344,600,1
"73","BLR",1972,2.072,2.326,2.278,2.24,2.258,2.277,2.299,2.317,474.64,1.012
"74","BLR",1973,2.046,2.308,2.283,2.247,2.264,2.282,2.301,2.32,546.27,1.003
"75","BLR",1974,2.025,2.293,2.274,2.237,2.253,2.273,2.293,2.312,546.02,1
"76","BLR",1975,2.042,2.254,2.287,2.239,2.264,2.288,2.312,2.333,600,1
"77","BLR",1976,2.038,2.206,2.271,2.202,2.242,2.274,2.307,2.333,519.611,0.997
"78","BLR",1977,2.036,2.161,2.256,2.183,2.223,2.263,2.295,2.325,513.053,0.995
"79","BLR",1978,2.03,2.129,2.235,2.15,2.195,2.245,2.284,2.312,525.958,0.999
"80","BLR",1979,2.032,2.091,2.197,2.111,2.155,2.198,2.248,2.286,563.497,0.997
"81","BLR",1980,2.065,2.061,2.198,2.114,2.152,2.2,2.246,2.284,575.054,0.997
"82","BLR",1981,2.102,2.039,2.184,2.096,2.133,2.184,2.233,2.283,558.735,0.997
"83","BLR",1982,2.123,2.02,2.174,2.081,2.127,2.173,2.222,2.268,426.329,0.998
"84","BLR",1983,2.166,2.038,2.172,2.082,2.123,2.169,2.221,2.266,570.281,0.998
"85","BLR",1984,2.212,2.051,2.192,2.115,2.147,2.188,2.236,2.272,600,0.999
"86","BLR",1985,2.252,2.061,2.198,2.125,2.155,2.195,2.235,2.279,527.648,1.002
"87","BLR",1986,2.282,2.09,2.193,2.132,2.157,2.191,2.22,2.257,520.621,1.004
"88","BLR",1987,2.331,2.109,2.21,2.156,2.176,2.202,2.239,2.271,481.108,1.007
"89","BLR",1988,2.342,2.103,2.224,2.159,2.173,2.198,2.251,2.35,3.055,1.746
"90","BLR",1989,2.345,2.089,2.167,2.127,2.144,2.163,2.187,2.21,132.391,1.01
"91","BLR",1990,2.306,2.061,2.134,2.096,2.113,2.131,2.152,2.172,499.047,0.996
"92","BLR",1991,2.25,1.991,2.085,2.052,2.066,2.083,2.104,2.122,455.683,1.005
"93","BLR",1992,2.139,1.926,1.995,1.959,1.973,1.991,2.012,2.036,259.634,1
"94","BLR",1993,2.03,1.827,1.918,1.877,1.893,1.915,1.94,1.963,47.858,1.044
"95","BLR",1994,1.863,1.729,1.793,1.754,1.774,1.793,1.812,1.831,511.756,1.008
"96","BLR",1995,1.705,1.627,1.674,1.642,1.656,1.672,1.691,1.71,550.339,1.002
"97","BLR",1996,1.564,1.533,1.565,1.537,1.55,1.565,1.58,1.594,586.988,0.999
"98","BLR",1997,1.451,1.43,1.474,1.45,1.461,1.473,1.487,1.498,581.278,1.001
"99","BLR",1998,1.344,1.365,1.379,1.356,1.368,1.379,1.39,1.401,600,0.997
"100","BLR",1999,1.274,1.321,1.322,1.302,1.313,1.322,1.332,1.342,576.488,0.997
"101","BLR",2000,1.233,1.303,1.286,1.27,1.278,1.286,1.294,1.301,600,1
"102","BLR",2001,1.214,1.293,1.274,1.262,1.268,1.275,1.28,1.287,600,0.996
"103","BLR",2002,1.204,1.291,1.274,1.263,1.268,1.273,1.279,1.285,474.179,1.001
"104","BLR",2003,1.203,1.278,1.277,1.268,1.272,1.277,1.282,1.287,582.095,0.998
"105","BLR",2004,1.193,1.262,1.267,1.258,1.262,1.267,1.272,1.277,563.194,0.998
"106","BLR",2005,1.188,1.249,1.26,1.25,1.255,1.26,1.265,1.27,531.949,0.997
"107","BLR",2006,1.189,1.259,1.253,1.242,1.248,1.254,1.259,1.264,525.188,1.003
"108","BLR",2007,1.217,1.297,1.271,1.258,1.265,1.271,1.277,1.282,595.307,0.998
"109","BLR",2008,1.267,1.348,1.309,1.298,1.303,1.31,1.316,1.321,555.952,0.996
"110","BLR",2009,1.333,1.403,1.36,1.347,1.353,1.359,1.365,1.371,266.728,1.013
"111","BLR",2010,1.414,1.451,1.418,1.408,1.412,1.417,1.423,1.431,382.441,1.003
"112","BLR",2011,1.487,1.488,1.471,1.46,1.464,1.469,1.475,1.484,37.936,1.078
"113","BLR",2012,1.556,1.526,1.515,1.504,1.508,1.514,1.52,1.528,471.054,0.999
"114","BLR",2013,1.63,1.562,1.566,1.552,1.557,1.563,1.573,1.583,476.886,1.006
"115","BLR",2014,1.691,1.599,1.611,1.591,1.597,1.608,1.62,1.637,383.426,1.003
"116","BGR",1947,2.438,NA,2.871,2.626,2.713,2.842,2.999,3.153,489.099,0.995
"117","BGR",1948,2.453,NA,2.891,2.63,2.724,2.88,3.032,3.203,152.744,1.024
"118","BGR",1949,2.514,NA,2.843,2.629,2.714,2.821,2.963,3.081,600,1.002
"119","BGR",1950,2.592,NA,2.885,2.685,2.764,2.877,2.991,3.112,571.639,0.995
"120","BGR",1951,2.691,2.785,2.99,2.765,2.863,2.976,3.098,3.234,557.598,1
"121","BGR",1952,2.626,2.705,2.892,2.688,2.776,2.875,2.999,3.106,600,1
"122","BGR",1953,2.594,2.612,2.737,2.585,2.644,2.725,2.814,2.917,527.953,0.999
"123","BGR",1954,2.557,2.51,2.674,2.513,2.586,2.664,2.757,2.844,600,0.998
"124","BGR",1955,2.512,2.401,2.607,2.47,2.519,2.598,2.683,2.765,526.932,1.003
"125","BGR",1956,2.431,2.385,2.492,2.361,2.411,2.476,2.568,2.638,541.497,0.999
"126","BGR",1957,2.419,2.35,2.439,2.331,2.374,2.428,2.489,2.564,541.794,1.002
"127","BGR",1958,2.362,2.314,2.329,2.25,2.278,2.319,2.368,2.424,570.179,0.998
"128","BGR",1959,2.315,2.289,2.275,2.199,2.224,2.265,2.313,2.372,459.874,1.008
"129","BGR",1960,2.3,2.275,2.236,2.171,2.199,2.229,2.268,2.31,568.865,1.004
"130","BGR",1961,2.298,2.265,2.229,2.178,2.198,2.224,2.256,2.292,600,0.998
"131","BGR",1962,2.263,2.262,2.215,2.165,2.184,2.211,2.241,2.268,517.107,0.999
"132","BGR",1963,2.246,2.258,2.207,2.153,2.178,2.204,2.231,2.263,600,0.998
"133","BGR",1964,2.205,2.248,2.189,2.148,2.164,2.185,2.212,2.236,538.105,0.998
"134","BGR",1965,2.181,2.203,2.18,2.143,2.156,2.176,2.201,2.227,482.608,1.003
"135","BGR",1966,2.13,2.149,2.158,2.122,2.135,2.153,2.176,2.203,478.107,1.001
"136","BGR",1967,2.061,2.106,2.124,2.086,2.101,2.12,2.143,2.167,600,1.005
"137","BGR",1968,1.997,2.117,2.088,2.056,2.069,2.087,2.103,2.12,591.887,1.002
"138","BGR",1969,2.006,2.134,2.128,2.094,2.107,2.125,2.146,2.163,550.111,0.997
"139","BGR",1970,2.042,2.151,2.179,2.145,2.159,2.177,2.197,2.218,506.523,1
"140","BGR",1971,2.056,2.167,2.183,2.145,2.163,2.18,2.202,2.221,422.846,1.011
"141","BGR",1972,2.095,2.168,2.223,2.182,2.204,2.222,2.242,2.262,600,1
"142","BGR",1973,2.123,2.144,2.246,2.2,2.223,2.245,2.27,2.29,520.781,0.998
"143","BGR",1974,2.122,2.148,2.233,2.188,2.208,2.231,2.258,2.278,511.137,1.005
"144","BGR",1975,2.155,2.159,2.24,2.193,2.216,2.239,2.264,2.29,484.699,0.998
"145","BGR",1976,2.182,2.187,2.238,2.192,2.215,2.236,2.261,2.281,538.568,1.001
"146","BGR",1977,2.221,2.222,2.263,2.221,2.239,2.259,2.283,2.309,516.004,1.002
"147","BGR",1978,2.257,2.223,2.29,2.247,2.267,2.289,2.313,2.332,577.07,1.008
"148","BGR",1979,2.26,2.196,2.276,2.241,2.254,2.272,2.293,2.318,545.277,1.004
"149","BGR",1980,2.249,2.161,2.257,2.225,2.237,2.252,2.273,2.296,600,0.997
"150","BGR",1981,2.181,2.113,2.176,2.146,2.16,2.174,2.19,2.208,600,0.999
"151","BGR",1982,2.125,2.075,2.115,2.087,2.098,2.111,2.128,2.148,134.672,1.03
"152","BGR",1983,2.087,2.046,2.064,2.037,2.048,2.061,2.077,2.096,305.514,1.004
"153","BGR",1984,2.05,2.017,2.053,2.007,2.018,2.034,2.118,2.13,2.259,2.815
"154","BGR",1985,2.011,2.002,1.984,1.962,1.971,1.983,1.996,2.009,600,1.002
"155","BGR",1986,1.994,2.005,1.972,1.945,1.956,1.968,1.984,2.005,66.96,1.06
"156","BGR",1987,1.978,1.995,1.966,1.94,1.95,1.964,1.98,1.992,495.817,0.998
"157","BGR",1988,1.957,1.989,1.958,1.93,1.942,1.957,1.973,1.99,126.804,1.026
"158","BGR",1989,1.94,1.965,1.952,1.927,1.939,1.951,1.964,1.979,519.77,0.998
"159","BGR",1990,1.886,1.926,1.917,1.896,1.905,1.915,1.929,1.941,457.663,0.999
"160","BGR",1991,1.817,1.851,1.871,1.85,1.859,1.869,1.881,1.894,527.074,0.998
"161","BGR",1992,1.733,1.767,1.802,1.785,1.792,1.801,1.811,1.822,495.58,0.998
"162","BGR",1993,1.65,1.666,1.732,1.715,1.722,1.731,1.741,1.751,600,0.996
"163","BGR",1994,1.573,1.564,1.658,1.641,1.648,1.657,1.666,1.674,600,1.002
"164","BGR",1995,1.487,1.456,1.563,1.55,1.555,1.562,1.569,1.579,168.333,1.027
