"","Code","Year","iTFR","lagTFR","post_mean","Q10","Q25","Q50","Q75","Q90","n_eff","Rhat"
"1","AUT",1947,1.911,NA,2.153,2.058,2.091,2.14,2.196,2.269,600,1.002
"2","AUT",1948,1.897,NA,2.11,2.029,2.062,2.107,2.151,2.2,589.026,0.999
"3","AUT",1949,1.917,NA,2.119,2.042,2.073,2.112,2.157,2.21,599.311,1.001
"4","AUT",1950,1.947,NA,2.127,2.057,2.088,2.118,2.158,2.202,540.361,1.002
"5","AUT",1951,2.002,NA,2.168,2.104,2.128,2.159,2.201,2.247,479.005,0.999
"6","AUT",1952,2.038,NA,2.174,2.123,2.143,2.17,2.199,2.235,476.415,1.012
"7","AUT",1953,1.999,NA,2.11,2.056,2.076,2.106,2.137,2.168,599.501,1.006
"8","AUT",1954,1.974,NA,2.079,2.021,2.043,2.073,2.111,2.145,510.334,1.007
"9","AUT",1955,1.958,NA,2.078,2.023,2.046,2.073,2.105,2.134,600,1.002
"10","AUT",1956,1.973,NA,2.112,2.063,2.083,2.109,2.138,2.166,594.909,0.997
"11","AUT",1957,2.043,NA,2.209,2.152,2.175,2.206,2.237,2.271,466.606,1.007
"12","AUT",1958,2.124,NA,2.296,2.238,2.261,2.291,2.323,2.358,548.612,0.995
"13","AUT",1959,2.211,NA,2.399,2.338,2.364,2.396,2.431,2.465,600,1.001
"14","AUT",1960,2.309,NA,2.49,2.437,2.458,2.484,2.515,2.551,508.917,1.002
"15","AUT",1961,2.418,NA,2.566,2.525,2.542,2.56,2.587,2.613,600,1.002
"16","AUT",1962,2.503,NA,2.665,2.602,2.62,2.646,2.691,2.78,6.884,1.525
"17","AUT",1963,2.577,NA,2.717,2.666,2.689,2.714,2.741,2.771,545.101,1
"18","AUT",1964,2.65,NA,2.782,2.724,2.753,2.782,2.813,2.841,600,0.996
"19","AUT",1965,2.706,NA,2.803,2.745,2.776,2.801,2.829,2.865,404.353,1.001
"20","AUT",1966,2.714,NA,2.821,2.772,2.794,2.82,2.846,2.872,451.109,1.013
"21","AUT",1967,2.681,NA,2.789,2.741,2.761,2.785,2.813,2.841,530.696,1
"22","AUT",1968,2.636,NA,2.754,2.698,2.722,2.75,2.785,2.817,577.889,1.002
"23","AUT",1969,2.576,NA,2.705,2.639,2.668,2.703,2.737,2.769,181.688,1.015
"24","AUT",1970,2.517,NA,2.633,2.583,2.604,2.631,2.659,2.688,449.815,1.005
"25","AUT",1971,2.453,NA,2.568,2.517,2.538,2.565,2.596,2.621,600,1.005
"26","AUT",1972,2.375,NA,2.47,2.422,2.444,2.468,2.494,2.521,526.134,1.005
"27","AUT",1973,2.279,NA,2.33,2.287,2.306,2.326,2.351,2.377,600,0.998
"28","AUT",1974,2.159,NA,2.186,2.144,2.161,2.184,2.208,2.232,495.588,0.996
"29","AUT",1975,2.057,NA,2.08,2.043,2.056,2.077,2.099,2.125,498.919,0.999
"30","AUT",1976,1.97,NA,1.989,1.953,1.969,1.985,2.007,2.027,413.143,1.002
"31","AUT",1977,1.872,NA,1.888,1.852,1.868,1.889,1.906,1.925,572.114,1.001
"32","AUT",1978,1.782,NA,1.795,1.76,1.778,1.793,1.811,1.833,600,0.997
"33","AUT",1979,1.717,NA,1.731,1.695,1.714,1.731,1.749,1.768,389.296,1
"34","AUT",1980,1.663,NA,1.69,1.647,1.668,1.689,1.707,1.729,60.545,1.078
"35","AUT",1981,1.648,NA,1.664,1.617,1.642,1.666,1.688,1.706,520.442,1.004
"36","AUT",1982,1.658,NA,1.672,1.629,1.648,1.673,1.694,1.715,491.312,1.004
"37","AUT",1983,1.675,NA,1.681,1.631,1.655,1.681,1.706,1.731,600,1.002
"38","AUT",1984,1.679,NA,1.679,1.633,1.652,1.68,1.704,1.726,567.869,0.999
"39","AUT",1985,1.678,NA,1.681,1.627,1.652,1.68,1.708,1.735,600,0.996
"40","AUT",1986,1.652,NA,1.644,1.59,1.617,1.645,1.672,1.694,559.146,1.001
"41","AUT",1987,1.619,NA,1.605,1.558,1.575,1.602,1.63,1.658,205.997,1.026
"42","AUT",1988,1.587,NA,1.559,1.519,1.536,1.557,1.582,1.6,600,0.996
"43","AUT",1989,1.579,NA,1.541,1.504,1.517,1.54,1.559,1.579,465.918,0.998
"44","AUT",1990,1.587,NA,1.522,1.49,1.501,1.518,1.54,1.56,421.311,1
"45","AUT",1991,1.61,NA,1.521,1.488,1.499,1.515,1.533,1.564,16.835,1.237
"46","AUT",1992,1.64,NA,1.523,1.499,1.507,1.52,1.535,1.552,443.709,1.002
"47","AUT",1993,1.66,NA,1.53,1.508,1.516,1.528,1.541,1.555,546.25,0.995
"48","AUT",1994,1.67,NA,1.534,1.51,1.517,1.531,1.544,1.563,127.902,1.021
"49","AUT",1995,1.672,NA,1.533,1.504,1.515,1.529,1.547,1.569,322.996,1.004
"50","AUT",1996,1.652,NA,1.528,1.496,1.507,1.523,1.541,1.565,263.125,1.015
"51","AUT",1997,1.619,NA,1.51,1.476,1.489,1.506,1.527,1.549,400.697,1.014
"52","AUT",1998,1.582,NA,1.485,1.446,1.461,1.479,1.504,1.534,380.978,1.003
"53","AUT",1999,1.54,NA,1.464,1.421,1.436,1.459,1.485,1.519,515.732,1.001
"54","AUT",2000,1.495,NA,1.435,1.388,1.406,1.429,1.457,1.491,509.766,0.994
"55","AUT",2001,1.459,NA,1.421,1.371,1.39,1.417,1.445,1.476,567.1,0.997
"56","AUT",2002,1.405,NA,1.383,1.335,1.352,1.38,1.409,1.44,458.69,1
"57","AUT",2003,1.387,NA,1.378,1.331,1.35,1.376,1.405,1.429,600,0.998
"58","AUT",2004,1.369,NA,1.384,1.337,1.359,1.38,1.407,1.434,511.718,0.998
"59","AUT",2005,1.369,NA,1.399,1.354,1.373,1.399,1.421,1.445,591.529,0.997
"60","AUT",2006,1.364,NA,1.404,1.362,1.381,1.403,1.427,1.448,529.637,1.01
"61","AUT",2007,1.367,NA,1.418,1.381,1.397,1.416,1.439,1.459,556.833,1.003
"62","AUT",2008,1.356,NA,1.416,1.379,1.396,1.415,1.437,1.451,132.173,1.034
"63","AUT",2009,1.357,NA,1.421,1.389,1.403,1.42,1.437,1.455,600,0.996
"64","AUT",2010,1.352,NA,1.421,1.396,1.406,1.421,1.435,1.447,577.794,1.002
"65","AUT",2011,1.359,NA,1.427,1.404,1.414,1.427,1.439,1.452,600,0.998
"66","AUT",2012,1.368,NA,1.43,1.409,1.416,1.43,1.442,1.454,600,0.997
"67","AUT",2013,1.384,NA,1.44,1.42,1.429,1.439,1.45,1.46,583.872,0.996
"68","AUT",2014,1.398,NA,1.441,1.423,1.431,1.439,1.45,1.461,559.431,1.002
"69","BGR",1947,2.438,NA,2.882,2.616,2.732,2.861,3.016,3.156,467.078,0.998
"70","BGR",1948,2.453,NA,2.868,2.63,2.715,2.84,2.994,3.147,520.219,1.007
"71","BGR",1949,2.514,NA,2.852,2.643,2.728,2.828,2.947,3.106,591.101,1.003
"72","BGR",1950,2.592,NA,2.883,2.689,2.772,2.875,2.976,3.083,583.872,0.998
"73","BGR",1951,2.691,NA,3.004,2.769,2.882,2.993,3.123,3.233,528.26,1
"74","BGR",1952,2.626,NA,2.88,2.682,2.764,2.861,2.978,3.114,520.246,1.001
"75","BGR",1953,2.594,NA,2.734,2.571,2.642,2.725,2.815,2.905,537.386,0.997
"76","BGR",1954,2.557,NA,2.674,2.517,2.582,2.659,2.749,2.85,453.168,1.001
"77","BGR",1955,2.512,NA,2.611,2.463,2.526,2.595,2.685,2.779,514.493,1.001
"78","BGR",1956,2.431,NA,2.499,2.374,2.419,2.488,2.56,2.635,541.101,1
"79","BGR",1957,2.419,NA,2.441,2.331,2.379,2.426,2.491,2.563,512.606,0.998
"80","BGR",1958,2.362,NA,2.329,2.244,2.277,2.322,2.372,2.428,538.586,1.005
"81","BGR",1959,2.315,NA,2.277,2.198,2.227,2.267,2.317,2.371,569.251,0.999
"82","BGR",1960,2.3,NA,2.24,2.177,2.197,2.231,2.273,2.316,519.247,0.999
"83","BGR",1961,2.298,NA,2.253,2.178,2.201,2.235,2.272,2.425,9.962,1.672
"84","BGR",1962,2.263,NA,2.22,2.165,2.186,2.214,2.249,2.285,312.822,1
"85","BGR",1963,2.246,NA,2.208,2.16,2.177,2.204,2.233,2.264,488.272,1.006
"86","BGR",1964,2.205,NA,2.19,2.149,2.165,2.187,2.211,2.24,561.225,0.996
"87","BGR",1965,2.181,NA,2.18,2.139,2.156,2.177,2.201,2.227,600,1
"88","BGR",1966,2.13,NA,2.159,2.121,2.136,2.157,2.179,2.199,600,0.999
"89","BGR",1967,2.061,NA,2.122,2.085,2.099,2.118,2.138,2.163,531.295,0.999
"90","BGR",1968,1.997,NA,2.089,2.058,2.068,2.084,2.107,2.128,525.586,1
"91","BGR",1969,2.006,NA,2.128,2.094,2.108,2.125,2.144,2.165,600,0.996
"92","BGR",1970,2.042,NA,2.176,2.143,2.154,2.173,2.194,2.217,595.927,1
"93","BGR",1971,2.056,NA,2.183,2.145,2.163,2.182,2.203,2.22,600,0.998
"94","BGR",1972,2.095,NA,2.223,2.184,2.202,2.221,2.243,2.264,594.932,1.002
"95","BGR",1973,2.123,NA,2.243,2.202,2.222,2.245,2.265,2.285,503.422,1.003
"96","BGR",1974,2.122,NA,2.232,2.186,2.208,2.23,2.258,2.28,537.933,1
"97","BGR",1975,2.155,NA,2.237,2.195,2.213,2.233,2.259,2.282,358.716,1.005
"98","BGR",1976,2.182,NA,2.239,2.194,2.215,2.238,2.261,2.282,582.957,1.001
"99","BGR",1977,2.221,NA,2.267,2.224,2.241,2.263,2.289,2.315,520,1
"100","BGR",1978,2.257,NA,2.292,2.251,2.267,2.289,2.315,2.335,472.385,0.997
"101","BGR",1979,2.26,NA,2.28,2.244,2.257,2.278,2.299,2.323,395.27,1.003
"102","BGR",1980,2.249,NA,2.257,2.226,2.237,2.255,2.274,2.293,399.857,1.006
"103","BGR",1981,2.181,NA,2.178,2.146,2.159,2.175,2.193,2.21,437.261,1.003
"104","BGR",1982,2.125,NA,2.116,2.087,2.099,2.113,2.13,2.147,549.686,1.008
"105","BGR",1983,2.087,NA,2.063,2.037,2.048,2.062,2.076,2.092,438.375,1.005
"106","BGR",1984,2.05,NA,2.028,2.003,2.013,2.026,2.041,2.056,488.121,1.006
"107","BGR",1985,2.011,NA,1.985,1.963,1.972,1.983,1.998,2.009,544.552,1.003
"108","BGR",1986,1.994,NA,1.969,1.946,1.955,1.967,1.982,1.993,600,0.999
"109","BGR",1987,1.978,NA,1.965,1.938,1.951,1.963,1.977,1.992,575.754,1.006
"110","BGR",1988,1.957,NA,1.956,1.929,1.942,1.955,1.969,1.982,424.297,1.002
"111","BGR",1989,1.94,NA,1.953,1.927,1.939,1.952,1.966,1.981,592.426,0.999
"112","BGR",1990,1.886,NA,1.916,1.895,1.904,1.915,1.927,1.938,581.396,0.995
"113","BGR",1991,1.817,NA,1.871,1.851,1.859,1.869,1.881,1.893,535.335,1.008
"114","BGR",1992,1.733,NA,1.802,1.784,1.792,1.801,1.812,1.821,600,0.999
"115","BGR",1993,1.65,NA,1.732,1.715,1.722,1.73,1.741,1.749,399.507,1.007
"116","BGR",1994,1.573,NA,1.657,1.641,1.648,1.657,1.666,1.675,600,0.998
"117","BGR",1995,1.487,NA,1.562,1.548,1.553,1.561,1.569,1.578,526.68,0.999
"118","BGR",1996,1.397,NA,1.47,1.456,1.462,1.469,1.478,1.486,76.611,1.042
"119","BGR",1997,1.337,NA,1.403,1.388,1.394,1.403,1.411,1.421,600,1.001
"120","BGR",1998,1.26,NA,1.313,1.297,1.304,1.312,1.321,1.329,589.181,0.996
"121","BGR",1999,1.202,NA,1.246,1.233,1.239,1.246,1.253,1.262,558.853,1.009
"122","BGR",2000,1.187,NA,1.219,1.207,1.212,1.218,1.225,1.233,600,0.997
"123","BGR",2001,1.199,NA,1.222,1.21,1.216,1.221,1.228,1.235,370.074,1
"124","BGR",2002,1.179,NA,1.196,1.186,1.189,1.195,1.201,1.208,600,1.001
"125","BGR",2003,1.212,NA,1.222,1.21,1.215,1.221,1.227,1.236,372.43,1.002
"126","BGR",2004,1.241,NA,1.249,1.237,1.242,1.248,1.255,1.262,400.876,0.999
"127","BGR",2005,1.253,NA,1.256,1.246,1.25,1.256,1.261,1.267,528.213,1.001
"128","BGR",2006,1.275,NA,1.275,1.264,1.268,1.273,1.28,1.286,332.579,1
"129","BGR",2007,1.317,NA,1.31,1.296,1.301,1.308,1.318,1.327,589.364,0.999
"130","BGR",2008,1.363,NA,1.348,1.331,1.337,1.346,1.356,1.368,484.348,1
"131","BGR",2009,1.413,NA,1.396,1.377,1.384,1.394,1.405,1.418,499.885,1.002
"132","BGR",2010,1.455,NA,1.438,1.416,1.425,1.435,1.45,1.464,454.478,1.005
"133","BLR",1959,2.9,NA,2.789,2.659,2.718,2.778,2.845,2.93,481.804,1.002
"134","BLR",1960,2.933,NA,2.759,2.666,2.698,2.745,2.8,2.872,372.24,0.999
"135","BLR",1961,3,NA,2.745,2.664,2.692,2.738,2.784,2.838,390.518,1.004
"136","BLR",1962,2.996,NA,2.726,2.655,2.684,2.716,2.759,2.801,245.637,1.012
"137","BLR",1963,2.973,NA,2.73,2.646,2.674,2.712,2.768,2.876,13.01,1.237
"138","BLR",1964,2.891,NA,2.659,2.599,2.622,2.655,2.688,2.733,555.579,1.005
"139","BLR",1965,2.774,NA,2.566,2.507,2.531,2.561,2.595,2.628,523.703,1.004
"140","BLR",1966,2.63,NA,2.503,2.437,2.462,2.499,2.537,2.575,447.628,1.004
"141","BLR",1967,2.501,NA,2.423,2.353,2.383,2.418,2.452,2.502,600,0.996
"142","BLR",1968,2.38,NA,2.373,2.307,2.336,2.37,2.407,2.447,559.723,0.995
"143","BLR",1969,2.298,NA,2.354,2.287,2.315,2.353,2.387,2.428,452.137,1.002
"144","BLR",1970,2.208,NA,2.325,2.268,2.293,2.326,2.356,2.382,600,0.997
"145","BLR",1971,2.133,NA,2.3,2.253,2.279,2.3,2.322,2.345,513.862,1.01
"146","BLR",1972,2.072,NA,2.279,2.242,2.259,2.277,2.298,2.319,484.788,1.004
"147","BLR",1973,2.046,NA,2.28,2.243,2.26,2.28,2.299,2.32,600,0.995
"148","BLR",1974,2.025,NA,2.269,2.232,2.25,2.269,2.289,2.307,532.153,1.012
"149","BLR",1975,2.042,NA,2.289,2.237,2.266,2.293,2.315,2.337,600,0.996
"150","BLR",1976,2.038,NA,2.275,2.207,2.246,2.279,2.306,2.331,600,0.995
"151","BLR",1977,2.036,NA,2.257,2.17,2.222,2.262,2.3,2.328,600,0.998
"152","BLR",1978,2.03,NA,2.23,2.144,2.189,2.235,2.276,2.307,600,0.999
"153","BLR",1979,2.032,NA,2.2,2.116,2.158,2.204,2.246,2.286,600,0.995
"154","BLR",1980,2.065,NA,2.198,2.11,2.152,2.201,2.246,2.287,539.978,1
"155","BLR",1981,2.102,NA,2.185,2.09,2.133,2.189,2.237,2.277,556.36,1.002
"156","BLR",1982,2.123,NA,2.164,2.068,2.11,2.164,2.217,2.26,427.024,1
"157","BLR",1983,2.166,NA,2.166,2.081,2.12,2.163,2.21,2.255,560.774,0.997
"158","BLR",1984,2.212,NA,2.188,2.104,2.14,2.188,2.236,2.275,600,0.995
"159","BLR",1985,2.252,NA,2.203,2.127,2.162,2.197,2.241,2.281,600,1.002
"160","BLR",1986,2.282,NA,2.196,2.132,2.159,2.193,2.226,2.26,516.628,0.998
"161","BLR",1987,2.331,NA,2.207,2.154,2.174,2.201,2.233,2.265,600,1.002
"162","BLR",1988,2.342,NA,2.204,2.15,2.169,2.196,2.229,2.288,42.2,1.077
"163","BLR",1989,2.345,NA,2.168,2.129,2.145,2.163,2.186,2.216,375.39,1.007
"164","BLR",1990,2.306,NA,2.131,2.099,2.111,2.128,2.149,2.172,417.476,1.002
"165","BLR",1991,2.25,NA,2.084,2.049,2.065,2.082,2.102,2.121,463.905,1.002
"166","BLR",1992,2.139,NA,1.997,1.961,1.974,1.995,2.015,2.037,590.574,1
"167","BLR",1993,2.03,NA,1.917,1.882,1.895,1.913,1.935,1.959,518.453,0.999
"168","BLR",1994,1.863,NA,1.79,1.756,1.77,1.788,1.809,1.827,524.192,1.009
"169","BLR",1995,1.705,NA,1.67,1.639,1.651,1.667,1.686,1.702,579.392,0.996
"170","BLR",1996,1.564,NA,1.564,1.536,1.549,1.563,1.578,1.592,533.325,0.999
"171","BLR",1997,1.451,NA,1.476,1.451,1.464,1.477,1.488,1.501,448.516,1.007
"172","BLR",1998,1.344,NA,1.381,1.359,1.37,1.381,1.392,1.402,600,1.003
"173","BLR",1999,1.274,NA,1.323,1.304,1.313,1.324,1.333,1.342,460.895,1.004
"174","BLR",2000,1.233,NA,1.286,1.27,1.279,1.287,1.294,1.301,417.797,1.003
"175","BLR",2001,1.214,NA,1.275,1.262,1.268,1.274,1.282,1.288,600,1.002
"176","BLR",2002,1.204,NA,1.274,1.264,1.268,1.273,1.279,1.284,428.391,0.998
"177","BLR",2003,1.203,NA,1.277,1.268,1.272,1.277,1.282,1.286,600,0.996
"178","BLR",2004,1.193,NA,1.268,1.259,1.263,1.267,1.272,1.277,466.337,0.995
"179","BLR",2005,1.188,NA,1.259,1.249,1.253,1.258,1.263,1.268,435.122,1.005
"180","BLR",2006,1.189,NA,1.254,1.243,1.249,1.254,1.259,1.264,576.561,1.001
"181","BLR",2007,1.217,NA,1.271,1.258,1.265,1.271,1.277,1.283,522.973,1.001
"182","BLR",2008,1.267,NA,1.31,1.297,1.304,1.31,1.316,1.321,600,0.995
"183","BLR",2009,1.333,NA,1.359,1.347,1.353,1.359,1.366,1.371,600,1.003
"184","BLR",2010,1.414,NA,1.419,1.408,1.412,1.417,1.424,1.431,172.012,1.023
