Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/10/2017
Code Year    Age        Exposure
AUT  1951     12        56781.30
AUT  1951     13        42578.92
AUT  1951     14        40711.41
AUT  1951     15        41367.65
AUT  1951     16        41865.59
AUT  1951     17        42835.63
AUT  1951     18        44120.44
AUT  1951     19        45393.23
AUT  1951     20        46623.59
AUT  1951     21        48146.60
AUT  1951     22        47837.81
AUT  1951     23        48728.10
AUT  1951     24        50713.69
AUT  1951     25        54006.78
AUT  1951     26        57405.60
AUT  1951     27        58961.47
AUT  1951     28        60317.93
AUT  1951     29        60373.90
AUT  1951     30        58513.72
AUT  1951     31        55038.05
AUT  1951     32        39808.35
AUT  1951     33        30661.63
AUT  1951     34        33291.15
AUT  1951     35        36525.31
AUT  1951     36        49056.96
AUT  1951     37        56540.36
AUT  1951     38        57104.55
AUT  1951     39        58585.63
AUT  1951     40        57869.93
AUT  1951     41        59630.13
AUT  1951     42        59111.61
AUT  1951     43        58523.97
AUT  1951     44        58511.00
AUT  1951     45        58535.57
AUT  1951     46        57212.58
AUT  1951     47        57718.94
AUT  1951     48        56952.82
AUT  1951     49        56976.11
AUT  1951     50        55825.49
AUT  1951     51        54605.98
AUT  1951     52        53664.32
AUT  1951     53        52166.28
AUT  1951     54        51019.83
AUT  1951     55        50071.11
AUT  1952     12        67701.93
AUT  1952     13        54501.73
AUT  1952     14        41652.05
AUT  1952     15        40369.50
AUT  1952     16        40811.39
AUT  1952     17        41408.78
AUT  1952     18        42222.20
AUT  1952     19        43860.05
AUT  1952     20        44748.78
AUT  1952     21        46661.30
AUT  1952     22        47509.36
AUT  1952     23        47633.09
AUT  1952     24        47975.00
AUT  1952     25        50272.83
AUT  1952     26        53927.70
AUT  1952     27        57023.96
AUT  1952     28        58784.87
AUT  1952     29        60106.27
AUT  1952     30        60200.05
AUT  1952     31        59465.11
AUT  1952     32        55063.62
AUT  1952     33        37924.21
AUT  1952     34        30031.49
AUT  1952     35        32377.03
AUT  1952     36        35788.54
AUT  1952     37        50365.33
AUT  1952     38        56060.38
AUT  1952     39        57477.12
AUT  1952     40        57586.96
AUT  1952     41        58031.01
AUT  1952     42        59434.66
AUT  1952     43        58672.46
AUT  1952     44        58163.27
AUT  1952     45        58595.12
AUT  1952     46        57780.20
AUT  1952     47        57183.36
AUT  1952     48        57085.60
AUT  1952     49        56825.23
AUT  1952     50        56612.38
AUT  1952     51        55331.93
AUT  1952     52        54377.16
AUT  1952     53        53198.03
AUT  1952     54        51624.49
AUT  1952     55        50674.43
AUT  1953     12        62930.74
AUT  1953     13        67472.90
AUT  1953     14        54252.86
AUT  1953     15        41391.95
AUT  1953     16        40063.86
AUT  1953     17        40462.82
AUT  1953     18        41028.58
AUT  1953     19        41858.26
AUT  1953     20        43521.66
AUT  1953     21        44454.40
AUT  1953     22        46373.54
AUT  1953     23        47242.06
AUT  1953     24        47362.45
AUT  1953     25        47713.65
AUT  1953     26        50008.14
AUT  1953     27        53640.29
AUT  1953     28        56755.61
AUT  1953     29        58525.90
AUT  1953     30        59834.23
AUT  1953     31        59937.44
AUT  1953     32        59212.95
AUT  1953     33        54835.64
AUT  1953     34        37765.67
AUT  1953     35        29898.14
AUT  1953     36        32250.98
AUT  1953     37        35638.19
AUT  1953     38        50155.55
AUT  1953     39        55844.60
AUT  1953     40        57221.59
AUT  1953     41        57329.99
AUT  1953     42        57765.00
AUT  1953     43        59164.71
AUT  1953     44        58407.00
AUT  1953     45        57914.31
AUT  1953     46        58309.18
AUT  1953     47        57465.78
AUT  1953     48        56843.40
AUT  1953     49        56723.13
AUT  1953     50        56477.67
AUT  1953     51        56245.43
AUT  1953     52        54958.98
AUT  1953     53        53996.76
AUT  1953     54        52784.60
AUT  1953     55        51195.46
AUT  1954     12        58041.80
AUT  1954     13        62788.77
AUT  1954     14        67283.66
AUT  1954     15        54053.40
AUT  1954     16        41176.45
AUT  1954     17        39817.80
AUT  1954     18        40176.20
AUT  1954     19        40718.08
AUT  1954     20        41560.07
AUT  1954     21        43249.05
AUT  1954     22        44216.60
AUT  1954     23        46134.43
AUT  1954     24        47009.40
AUT  1954     25        47145.50
AUT  1954     26        47501.39
AUT  1954     27        49783.12
AUT  1954     28        53419.69
AUT  1954     29        56523.85
AUT  1954     30        58286.59
AUT  1954     31        59605.29
AUT  1954     32        59710.16
AUT  1954     33        59003.59
AUT  1954     34        54632.66
AUT  1954     35        37613.83
AUT  1954     36        29783.85
AUT  1954     37        32134.49
AUT  1954     38        35506.46
AUT  1954     39        49946.83
AUT  1954     40        55626.03
AUT  1954     41        56997.68
AUT  1954     42        57097.51
AUT  1954     43        57517.55
AUT  1954     44        58907.72
AUT  1954     45        58170.01
AUT  1954     46        57665.81
AUT  1954     47        58019.68
AUT  1954     48        57147.85
AUT  1954     49        56489.87
AUT  1954     50        56380.05
AUT  1954     51        56115.64
AUT  1954     52        55855.97
AUT  1954     53        54578.52
AUT  1954     54        53621.28
AUT  1954     55        52369.05
AUT  1955     12        52344.30
AUT  1955     13        57913.63
AUT  1955     14        62620.99
AUT  1955     15        67054.32
AUT  1955     16        53810.39
AUT  1955     17        40914.46
AUT  1955     18        39515.25
AUT  1955     19        39827.95
AUT  1955     20        40337.42
AUT  1955     21        41176.52
AUT  1955     22        42912.43
AUT  1955     23        43904.96
AUT  1955     24        45847.25
AUT  1955     25        46725.59
AUT  1955     26        46896.55
AUT  1955     27        47242.40
AUT  1955     28        49517.38
AUT  1955     29        53152.22
AUT  1955     30        56245.12
AUT  1955     31        58008.57
AUT  1955     32        59342.61
AUT  1955     33        59442.00
AUT  1955     34        58743.30
AUT  1955     35        54391.99
AUT  1955     36        37437.75
AUT  1955     37        29645.97
AUT  1955     38        32000.65
AUT  1955     39        35353.07
AUT  1955     40        49708.51
AUT  1955     41        55398.13
AUT  1955     42        56758.62
AUT  1955     43        56833.04
AUT  1955     44        57238.57
AUT  1955     45        58631.26
AUT  1955     46        57904.06
AUT  1955     47        57408.34
AUT  1955     48        57690.72
AUT  1955     49        56799.82
AUT  1955     50        56124.81
AUT  1955     51        56007.63
AUT  1955     52        55733.69
AUT  1955     53        55431.56
AUT  1955     54        54174.62
AUT  1955     55        53200.28
AUT  1956     12        53557.09
AUT  1956     13        52244.68
AUT  1956     14        57736.81
AUT  1956     15        62392.83
AUT  1956     16        66740.14
AUT  1956     17        53476.14
AUT  1956     18        40553.42
AUT  1956     19        39101.43
AUT  1956     20        39351.43
AUT  1956     21        39806.28
AUT  1956     22        40664.85
AUT  1956     23        42454.76
AUT  1956     24        43496.25
AUT  1956     25        45459.88
AUT  1956     26        46371.62
AUT  1956     27        46558.06
AUT  1956     28        46890.77
AUT  1956     29        49181.14
AUT  1956     30        52794.96
AUT  1956     31        55864.23
