Total live births
Last modified: 06/10/2017
Code Year         Total
AUT  1951     102764.00
AUT  1952     103012.00
AUT  1953     102867.00
AUT  1954     103985.00
AUT  1955     108575.00
AUT  1956     115827.00
AUT  1957     118712.00
AUT  1958     119755.00
AUT  1959     124377.00
AUT  1960     125945.00
AUT  1961     131563.00
AUT  1962     133253.00
AUT  1963     134809.00
AUT  1964     133841.00
AUT  1965     129924.00
AUT  1966     128577.00
AUT  1967     127404.00
AUT  1968     126115.00
AUT  1969     121377.00
AUT  1970     112301.00
AUT  1971     108510.00
AUT  1972     104033.00
AUT  1973      98041.00
AUT  1974      97430.00
AUT  1975      93757.00
AUT  1976      87446.00
AUT  1977      85595.00
AUT  1978      85402.00
AUT  1979      86388.00
AUT  1980      90872.00
AUT  1981      93942.00
AUT  1982      94840.00
AUT  1983      90118.00
AUT  1984      89234.00
AUT  1985      87440.00
AUT  1986      86964.00
AUT  1987      86503.00
AUT  1988      88052.00
AUT  1989      88759.00
AUT  1990      90454.00
AUT  1991      94629.00
AUT  1992      95302.00
AUT  1993      95227.00
AUT  1994      92415.00
AUT  1995      88669.00
AUT  1996      88809.00
AUT  1997      84045.00
AUT  1998      81233.00
AUT  1999      78138.00
AUT  2000      78268.00
AUT  2001      75458.00
AUT  2002      78399.00
AUT  2003      76944.00
AUT  2004      78968.00
AUT  2005      78190.00
AUT  2006      77914.00
AUT  2007      76250.00
AUT  2008      77752.00
AUT  2009      76344.00
AUT  2010      78742.00
AUT  2011      78109.00
AUT  2012      78952.00
AUT  2013      79330.00
AUT  2014      81722.00
BLR  1964     161794.02
BLR  1965     153865.00
BLR  1966     153413.93
BLR  1967     147501.00
BLR  1968     146095.01
BLR  1969     142651.99
BLR  1970     146676.02
BLR  1971     149134.99
BLR  1972     147813.00
BLR  1973     144729.00
BLR  1974     146876.01
BLR  1975     146517.01
BLR  1976     147911.97
BLR  1977     148962.98
BLR  1978     151053.01
BLR  1979     151799.99
BLR  1980     154431.99
BLR  1981     157899.01
BLR  1982     159364.02
BLR  1983     173510.01
BLR  1984     168749.02
BLR  1985     165034.01
BLR  1986     171610.99
BLR  1987     162936.95
BLR  1988     163193.00
BLR  1989     153448.98
BLR  1990     142166.98
BLR  1991     132044.99
BLR  1992     127970.98
BLR  1993     117383.97
BLR  1994     110599.02
BLR  1995     101143.99
BLR  1996      95798.00
BLR  1997      89586.04
BLR  1998      92644.96
BLR  1999      92975.00
BLR  2000      93690.99
BLR  2001      91719.97
BLR  2002      88742.99
BLR  2003      88512.00
BLR  2004      88943.01
BLR  2005      90508.05
BLR  2006      96721.02
BLR  2007     103625.99
BLR  2008     107876.00
BLR  2009     109263.05
BLR  2010     108050.00
BLR  2011     109147.00
BLR  2012     115892.98
BLR  2013     117997.00
BLR  2014     118534.00
BGR  1947     170161.97
BGR  1948     175770.95
BGR  1949     177734.02
BGR  1950     182571.03
BGR  1951     152803.00
BGR  1952     154013.97
BGR  1953     153219.96
BGR  1954     149901.93
BGR  1955     150978.00
BGR  1956     147909.97
BGR  1957     141035.00
BGR  1958     138293.94
BGR  1959     136891.97
BGR  1960     140081.98
BGR  1961     137861.01
BGR  1962     134148.01
BGR  1963     132143.00
BGR  1964     130958.00
BGR  1965     125791.01
BGR  1966     123039.00
BGR  1967     124581.99
BGR  1968     141460.01
BGR  1969     143060.00
BGR  1970     138744.97
BGR  1971     135422.00
BGR  1972     131316.01
BGR  1973     139713.00
BGR  1974     149196.01
BGR  1975     144668.01
BGR  1976     144929.01
BGR  1977     141701.98
BGR  1978     136441.99
BGR  1979     135357.96
BGR  1980     128189.97
BGR  1981     124371.98
BGR  1982     124165.97
BGR  1983     122992.98
BGR  1984     122302.97
BGR  1985     118955.01
BGR  1986     120078.00
BGR  1987     116672.99
BGR  1988     117439.98
BGR  1989     112288.95
BGR  1990     105182.00
BGR  1991      95909.91
BGR  1992      89133.97
BGR  1993      84399.99
BGR  1994      79441.99
BGR  1995      71967.00
BGR  1996      72188.00
BGR  1997      64125.00
BGR  1998      65361.00
BGR  1999      72291.00
BGR  2000      73678.93
BGR  2001      68180.02
BGR  2002      66499.02
BGR  2003      67358.98
BGR  2004      69885.99
BGR  2005      71074.95
BGR  2006      73978.00
BGR  2007      75348.99
BGR  2008      77711.98
BGR  2009      80955.97
CAN  1921     168978.98
CAN  1922     164194.04
CAN  1923     156897.00
CAN  1924     157595.00
CAN  1925     154861.01
CAN  1926     232749.98
CAN  1927     234226.97
CAN  1928     236756.98
CAN  1929     235414.97
CAN  1930     243494.98
CAN  1931     240473.05
CAN  1932     235665.99
CAN  1933     222867.99
CAN  1934     221303.03
CAN  1935     221451.03
CAN  1936     220370.98
CAN  1937     220235.02
CAN  1938     229446.00
CAN  1939     229468.05
CAN  1940     244316.01
CAN  1941     255316.96
CAN  1942     272313.04
CAN  1943     283580.01
CAN  1944     284219.97
CAN  1945     288730.00
CAN  1946     330731.98
CAN  1947     359094.01
CAN  1948     347306.98
CAN  1949     353858.07
CAN  1950     357907.02
CAN  1951     368362.99
CAN  1952     389965.98
CAN  1953     404028.00
CAN  1954     421488.98
CAN  1955     426924.01
CAN  1956     436198.01
CAN  1957     453777.96
CAN  1958     455303.03
CAN  1959     464449.02
CAN  1960     463377.98
CAN  1961     460108.99
CAN  1962     454628.97
CAN  1963     450323.99
CAN  1964     438234.98
CAN  1965     403855.05
CAN  1966     373625.99
CAN  1967     358050.00
CAN  1968     351489.96
CAN  1969     356646.99
CAN  1970     359449.03
CAN  1971     349419.96
CAN  1972     334421.01
CAN  1973     331467.03
CAN  1974     335409.01
CAN  1975     348109.96
CAN  1976     348856.96
CAN  1977     351798.95
CAN  1978     348884.99
CAN  1979     355894.01
CAN  1980     360377.03
CAN  1981     361216.00
CAN  1982     363899.01
CAN  1983     364749.97
CAN  1984     368467.99
CAN  1985     367225.97
CAN  1986     364813.02
CAN  1987     361972.98
CAN  1988     369307.98
CAN  1989     384898.98
CAN  1990     397881.99
CAN  1991     402533.01
CAN  1992     398643.02
CAN  1993     388394.00
CAN  1994     385114.00
CAN  1995     378016.01
CAN  1996     366200.00
CAN  1997     348597.94
CAN  1998     342418.00
CAN  1999     337248.96
CAN  2000     327882.01
CAN  2001     333744.03
CAN  2002     328802.02
CAN  2003     335201.98
CAN  2004     337072.02
CAN  2005     342176.00
CAN  2006     354617.03
CAN  2007     367866.00
CAN  2008     377886.05
CAN  2009     380862.97
CAN  2010     377210.05
CAN  2011     377634.98
CHL  1992     294217.98
CHL  1993     289418.99
CHL  1994     285227.99
CHL  1995     275756.02
CHL  1996     272160.95
CHL  1997     265493.04
CHL  1998     261803.04
CHL  1999     254095.99
CHL  2000     251992.99
CHL  2001     248653.00
CHL  2002     241006.00
CHL  2003     236198.00
CHL  2004     232576.98
CHL  2005     231963.03
CZE  1950     188340.99
CZE  1951     185570.02
CZE  1952     180142.94
CZE  1953     172547.02
CZE  1954     168401.96
CZE  1955     165874.03
CZE  1956     162508.93
CZE  1957     155429.01
CZE  1958     141762.02
CZE  1959     128982.01
CZE  1960     128879.01
CZE  1961     131019.01
CZE  1962     133556.94
CZE  1963     148839.97
CZE  1964     154419.97
CZE  1965     147438.01
CZE  1966     141161.95
CZE  1967     138448.03
CZE  1968     137437.01
CZE  1969     143164.98
CZE  1970     147865.09
CZE  1971     154179.98
CZE  1972     163661.00
CZE  1973     181750.03
CZE  1974     194215.00
CZE  1975     191775.98
CZE  1976     187378.01
CZE  1977     181763.02
CZE  1978     178900.96
CZE  1979     172112.01
CZE  1980     153800.95
CZE  1981     144437.98
CZE  1982     141737.99
CZE  1983     137431.01
CZE  1984     136940.96
CZE  1985     135881.02
CZE  1986     133356.00
CZE  1987     130921.01
CZE  1988     132667.00
CZE  1989     128356.01
CZE  1990     130564.00
CZE  1991     129354.00
CZE  1992     121705.00
CZE  1993     121025.00
CZE  1994     106579.00
CZE  1995      96097.00
CZE  1996      90446.00
CZE  1997      90657.00
CZE  1998      90535.00
CZE  1999      89471.00
CZE  2000      90910.00
CZE  2001      90715.00
CZE  2002      92786.00
CZE  2003      93685.00
CZE  2004      97664.00
CZE  2005     102211.00
CZE  2006     105831.00
CZE  2007     114632.00
CZE  2008     119570.00
CZE  2009     118348.00
CZE  2010     117153.00
CZE  2011     108673.00
CZE  2012     108576.00
CZE  2013     106751.00
CZE  2014     109860.00
EST  1959      19946.06
EST  1960      20182.95
EST  1961      20254.00
EST  1962      19961.00
EST  1963      19279.99
EST  1964      19637.99
EST  1965      18914.00
EST  1966      18640.96
EST  1967      18693.00
EST  1968      19792.02
EST  1969      20866.01
EST  1970      21566.98
EST  1971      22133.98
EST  1972      21774.97
EST  1973      21248.94
EST  1974      21480.00
