County,KEY,m0004,W0004,W1517,W1819,W20,W21,W2224,W2529,W3034,W3539,W4044,W4549
Autauga County,1001,1866,1713,1336,741,315,307,919,1614,1736,2153,2112,2158
Baldwin County,1003,5614,5544,3511,2159,945,884,2827,5064,5392,5833,6100,6809
Barbour County,1005,847,855,513,299,158,148,440,798,646,773,740,944
Bibb County,1007,712,666,465,272,138,128,414,616,633,744,743,769
Blount County,1009,1805,1811,1186,708,315,282,933,1701,1711,1903,2000,2067
Bullock County,1011,402,340,231,130,77,60,182,322,289,272,274,345
Butler County,1013,714,658,407,240,113,144,379,705,670,621,665,790
Calhoun County,1015,3705,3499,2228,2036,1068,987,2493,3890,3669,3708,3758,4205
Chambers County,1017,981,972,730,400,237,164,521,985,992,1115,1128,1234
Cherokee County,1019,718,672,458,312,122,122,371,624,662,810,830,938
Chilton County,1021,1474,1522,907,514,254,242,755,1365,1506,1484,1430,1486
Choctaw County,1023,406,343,278,162,67,72,186,341,371,433,474,535
Clarke County,1025,756,712,633,344,136,132,356,733,830,891,895,1001
Clay County,1027,428,373,295,164,73,69,236,373,396,453,476,540
Cleburne County,1029,469,469,330,210,63,83,217,438,385,500,537,536
Coffee County,1031,1727,1576,1090,577,273,262,913,1703,1564,1697,1666,1684
Colbert County,1033,1625,1509,1080,728,298,317,884,1553,1596,1708,1806,2096
Conecuh County,1035,415,361,285,176,77,62,161,327,385,388,406,508
Coosa County,1037,283,278,198,145,59,56,161,288,301,391,395,424
Covington County,1039,1189,1076,716,471,213,183,602,1078,1035,1137,1167,1372
Crenshaw County,1041,413,416,287,171,88,63,198,370,429,481,444,527
Cullman County,1043,2525,2406,1587,1049,543,468,1335,2318,2365,2553,2539,2948
Dale County,1045,1845,1845,922,589,258,327,1024,1874,1654,1580,1555,1748
Dallas County,1047,1590,1607,1013,682,319,305,846,1436,1328,1417,1371,1717
DeKalb County,1049,2555,2491,1475,988,394,368,1093,2172,2340,2364,2382,2456
Elmore County,1051,2451,2408,1606,1071,532,465,1468,2635,2791,3110,2981,3353
Escambia County,1053,1176,1209,754,479,236,170,581,1095,1065,1159,1094,1258
Etowah County,1055,3169,2971,2127,1329,651,589,1766,3057,3129,3509,3518,3712
Fayette County,1057,537,460,316,234,105,71,279,440,463,509,553,645
Franklin County,1059,1166,1100,680,412,161,181,526,948,983,1043,988,1077
Geneva County,1061,816,760,530,313,174,125,491,692,728,828,916,955
Greene County,1063,277,278,209,131,58,48,150,266,217,231,270,351
Hale County,1065,465,489,381,221,86,86,276,454,463,482,493,683
Henry County,1067,475,462,390,190,79,74,273,445,525,556,528,648
