"Notes"	"County"	"CountyCode"	"AgeofMother9"	"AgeofMother9Code"	"Year"	"YearCode"	Births	FemalePopulation	FertilityRate
	"Baldwin County, AL"	"01003"	"15-19 years"	"15-19"	"2006"	"2006"	276	5380	51.30
	"Baldwin County, AL"	"01003"	"20-24 years"	"20-24"	"2006"	"2006"	635	4241	149.73
	"Baldwin County, AL"	"01003"	"25-29 years"	"25-29"	"2006"	"2006"	595	4699	126.62
	"Baldwin County, AL"	"01003"	"30-34 years"	"30-34"	"2006"	"2006"	468	4880	95.90
	"Baldwin County, AL"	"01003"	"35-39 years"	"35-39"	"2006"	"2006"	226	5651	39.99
	"Baldwin County, AL"	"01003"	"40-44 years"	"40-44"	"2006"	"2006"	33	6220	5.31
	"Calhoun County, AL"	"01015"	"15-19 years"	"15-19"	"2006"	"2006"	216	4082	52.92
	"Calhoun County, AL"	"01015"	"20-24 years"	"20-24"	"2006"	"2006"	552	4377	126.11
	"Calhoun County, AL"	"01015"	"25-29 years"	"25-29"	"2006"	"2006"	457	4153	110.04
	"Calhoun County, AL"	"01015"	"30-34 years"	"30-34"	"2006"	"2006"	176	3323	52.96
	"Calhoun County, AL"	"01015"	"35-39 years"	"35-39"	"2006"	"2006"	92	3820	24.08
	"Calhoun County, AL"	"01015"	"40-44 years"	"40-44"	"2006"	"2006"	15	3988	3.76
	"Etowah County, AL"	"01055"	"15-19 years"	"15-19"	"2006"	"2006"	208	3390	61.36
	"Etowah County, AL"	"01055"	"20-24 years"	"20-24"	"2006"	"2006"	437	3067	142.48
	"Etowah County, AL"	"01055"	"25-29 years"	"25-29"	"2006"	"2006"	357	3253	109.74
	"Etowah County, AL"	"01055"	"30-34 years"	"30-34"	"2006"	"2006"	209	3234	64.63
	"Etowah County, AL"	"01055"	"35-39 years"	"35-39"	"2006"	"2006"	71	3466	20.48
	"Etowah County, AL"	"01055"	"40-44 years"	"40-44"	"2006"	"2006"	10	3635	2.75
	"Jefferson County, AL"	"01073"	"15-19 years"	"15-19"	"2006"	"2006"	1167	22673	51.47
	"Jefferson County, AL"	"01073"	"20-24 years"	"20-24"	"2006"	"2006"	2663	24005	110.94
	"Jefferson County, AL"	"01073"	"25-29 years"	"25-29"	"2006"	"2006"	2814	25561	110.09
	"Jefferson County, AL"	"01073"	"30-34 years"	"30-34"	"2006"	"2006"	1934	22093	87.54
	"Jefferson County, AL"	"01073"	"35-39 years"	"35-39"	"2006"	"2006"	862	22237	38.76
	"Jefferson County, AL"	"01073"	"40-44 years"	"40-44"	"2006"	"2006"	175	24388	7.18
	"Jefferson County, AL"	"01073"	"45-49 years"	"45-49"	"2006"	"2006"	12	Not Available	Not Available
	"Lee County, AL"	"01081"	"15-19 years"	"15-19"	"2006"	"2006"	167	6240	26.76
	"Lee County, AL"	"01081"	"20-24 years"	"20-24"	"2006"	"2006"	449	10332	43.46
	"Lee County, AL"	"01081"	"25-29 years"	"25-29"	"2006"	"2006"	487	4261	114.29
	"Lee County, AL"	"01081"	"30-34 years"	"30-34"	"2006"	"2006"	368	4226	87.08
	"Lee County, AL"	"01081"	"35-39 years"	"35-39"	"2006"	"2006"	140	4199	33.34
	"Lee County, AL"	"01081"	"40-44 years"	"40-44"	"2006"	"2006"	24	4220	5.69
	"Madison County, AL"	"01089"	"15-19 years"	"15-19"	"2006"	"2006"	397	11273	35.22
	"Madison County, AL"	"01089"	"20-24 years"	"20-24"	"2006"	"2006"	1107	10892	101.63
	"Madison County, AL"	"01089"	"25-29 years"	"25-29"	"2006"	"2006"	1198	10150	118.03
	"Madison County, AL"	"01089"	"30-34 years"	"30-34"	"2006"	"2006"	842	9560	88.08
	"Madison County, AL"	"01089"	"35-39 years"	"35-39"	"2006"	"2006"	410	11083	36.99
	"Madison County, AL"	"01089"	"40-44 years"	"40-44"	"2006"	"2006"	104	13224	7.86
	"Mobile County, AL"	"01097"	"15-19 years"	"15-19"	"2006"	"2006"	973	14943	65.11
	"Mobile County, AL"	"01097"	"20-24 years"	"20-24"	"2006"	"2006"	1930	14538	132.76
	"Mobile County, AL"	"01097"	"25-29 years"	"25-29"	"2006"	"2006"	1689	14548	116.10
	"Mobile County, AL"	"01097"	"30-34 years"	"30-34"	"2006"	"2006"	954	12551	76.01
	"Mobile County, AL"	"01097"	"35-39 years"	"35-39"	"2006"	"2006"	464	13200	35.15
	"Mobile County, AL"	"01097"	"40-44 years"	"40-44"	"2006"	"2006"	91	14733	6.18
	"Montgomery County, AL"	"01101"	"15-19 years"	"15-19"	"2006"	"2006"	494	8056	61.32
	"Montgomery County, AL"	"01101"	"20-24 years"	"20-24"	"2006"	"2006"	1094	9546	114.60
	"Montgomery County, AL"	"01101"	"25-29 years"	"25-29"	"2006"	"2006"	959	8890	107.87
	"Montgomery County, AL"	"01101"	"30-34 years"	"30-34"	"2006"	"2006"	610	7812	78.08
	"Montgomery County, AL"	"01101"	"35-39 years"	"35-39"	"2006"	"2006"	259	7906	32.76
	"Montgomery County, AL"	"01101"	"40-44 years"	"40-44"	"2006"	"2006"	45	8269	5.44
	"Morgan County, AL"	"01103"	"15-19 years"	"15-19"	"2006"	"2006"	190	3841	49.47
	"Morgan County, AL"	"01103"	"20-24 years"	"20-24"	"2006"	"2006"	479	3114	153.82
	"Morgan County, AL"	"01103"	"25-29 years"	"25-29"	"2006"	"2006"	416	3648	114.04
	"Morgan County, AL"	"01103"	"30-34 years"	"30-34"	"2006"	"2006"	245	3592	68.21
	"Morgan County, AL"	"01103"	"35-39 years"	"35-39"	"2006"	"2006"	108	4021	26.86
	"Morgan County, AL"	"01103"	"40-44 years"	"40-44"	"2006"	"2006"	18	4586	3.92
	"Shelby County, AL"	"01117"	"15-19 years"	"15-19"	"2006"	"2006"	148	5507	26.87
	"Shelby County, AL"	"01117"	"20-24 years"	"20-24"	"2006"	"2006"	470	5084	92.45
	"Shelby County, AL"	"01117"	"25-29 years"	"25-29"	"2006"	"2006"	836	6758	123.71
	"Shelby County, AL"	"01117"	"30-34 years"	"30-34"	"2006"	"2006"	736	6970	105.60
	"Shelby County, AL"	"01117"	"35-39 years"	"35-39"	"2006"	"2006"	360	7330	49.11
	"Shelby County, AL"	"01117"	"40-44 years"	"40-44"	"2006"	"2006"	56	7362	7.61
	"Tuscaloosa County, AL"	"01125"	"15-19 years"	"15-19"	"2006"	"2006"	278	8856	31.39
	"Tuscaloosa County, AL"	"01125"	"20-24 years"	"20-24"	"2006"	"2006"	691	12449	55.51
	"Tuscaloosa County, AL"	"01125"	"25-29 years"	"25-29"	"2006"	"2006"	733	6029	121.58
	"Tuscaloosa County, AL"	"01125"	"30-34 years"	"30-34"	"2006"	"2006"	427	5798	73.65
	"Tuscaloosa County, AL"	"01125"	"35-39 years"	"35-39"	"2006"	"2006"	182	5688	32.00
	"Tuscaloosa County, AL"	"01125"	"40-44 years"	"40-44"	"2006"	"2006"	29	5776	5.02
	"Unidentified Counties, AL"	"01999"	"15-19 years"	"15-19"	"2006"	"2006"	4023	70467	57.09
	"Unidentified Counties, AL"	"01999"	"20-24 years"	"20-24"	"2006"	"2006"	9259	61226	151.23
	"Unidentified Counties, AL"	"01999"	"25-29 years"	"25-29"	"2006"	"2006"	7448	61947	120.23
	"Unidentified Counties, AL"	"01999"	"30-34 years"	"30-34"	"2006"	"2006"	4038	62494	64.61
	"Unidentified Counties, AL"	"01999"	"35-39 years"	"35-39"	"2006"	"2006"	1630	68587	23.77
	"Unidentified Counties, AL"	"01999"	"40-44 years"	"40-44"	"2006"	"2006"	314	74460	4.22
	"Unidentified Counties, AL"	"01999"	"45-49 years"	"45-49"	"2006"	"2006"	17	Not Available	Not Available
	"Anchorage Borough, AK"	"02020"	"15-19 years"	"15-19"	"2006"	"2006"	446	10492	42.51
	"Anchorage Borough, AK"	"02020"	"20-24 years"	"20-24"	"2006"	"2006"	1330	11500	115.65
	"Anchorage Borough, AK"	"02020"	"25-29 years"	"25-29"	"2006"	"2006"	1300	10443	124.49
	"Anchorage Borough, AK"	"02020"	"30-34 years"	"30-34"	"2006"	"2006"	901	9463	95.21
	"Anchorage Borough, AK"	"02020"	"35-39 years"	"35-39"	"2006"	"2006"	519	9912	52.36
	"Anchorage Borough, AK"	"02020"	"40-44 years"	"40-44"	"2006"	"2006"	116	11075	10.47
	"Anchorage Borough, AK"	"02020"	"45-49 years"	"45-49"	"2006"	"2006"	10	Not Available	Not Available
	"Unidentified Counties, AK"	"02999"	"15-19 years"	"15-19"	"2006"	"2006"	655	15831	41.37
	"Unidentified Counties, AK"	"02999"	"20-24 years"	"20-24"	"2006"	"2006"	1928	12761	151.09
	"Unidentified Counties, AK"	"02999"	"25-29 years"	"25-29"	"2006"	"2006"	1768	12092	146.21
	"Unidentified Counties, AK"	"02999"	"30-34 years"	"30-34"	"2006"	"2006"	1197	11557	103.57
	"Unidentified Counties, AK"	"02999"	"35-39 years"	"35-39"	"2006"	"2006"	651	12826	50.76
	"Unidentified Counties, AK"	"02999"	"40-44 years"	"40-44"	"2006"	"2006"	155	14413	10.75
	"Unidentified Counties, AK"	"02999"	"45-49 years"	"45-49"	"2006"	"2006"	12	Not Available	Not Available
	"Cochise County, AZ"	"04003"	"15-19 years"	"15-19"	"2006"	"2006"	212	4385	48.35
	"Cochise County, AZ"	"04003"	"20-24 years"	"20-24"	"2006"	"2006"	621	3527	176.07
	"Cochise County, AZ"	"04003"	"25-29 years"	"25-29"	"2006"	"2006"	520	3656	142.23
	"Cochise County, AZ"	"04003"	"30-34 years"	"30-34"	"2006"	"2006"	323	3453	93.54
	"Cochise County, AZ"	"04003"	"35-39 years"	"35-39"	"2006"	"2006"	116	3490	33.24
	"Cochise County, AZ"	"04003"	"40-44 years"	"40-44"	"2006"	"2006"	19	4018	4.73
	"Coconino County, AZ"	"04005"	"15-19 years"	"15-19"	"2006"	"2006"	270	6590	40.97
	"Coconino County, AZ"	"04005"	"20-24 years"	"20-24"	"2006"	"2006"	588	8077	72.80
	"Coconino County, AZ"	"04005"	"25-29 years"	"25-29"	"2006"	"2006"	531	4084	130.02
	"Coconino County, AZ"	"04005"	"30-34 years"	"30-34"	"2006"	"2006"	411	3904	105.28
	"Coconino County, AZ"	"04005"	"35-39 years"	"35-39"	"2006"	"2006"	219	3794	57.72
	"Coconino County, AZ"	"04005"	"40-44 years"	"40-44"	"2006"	"2006"	36	4337	8.30
	"Maricopa County, AZ"	"04013"	"15-19 years"	"15-19"	"2006"	"2006"	7822	123536	63.32
	"Maricopa County, AZ"	"04013"	"20-24 years"	"20-24"	"2006"	"2006"	17368	124234	139.80
	"Maricopa County, AZ"	"04013"	"25-29 years"	"25-29"	"2006"	"2006"	18823	142175	132.39
	"Maricopa County, AZ"	"04013"	"30-34 years"	"30-34"	"2006"	"2006"	13965	126953	110.00
	"Maricopa County, AZ"	"04013"	"35-39 years"	"35-39"	"2006"	"2006"	6811	130469	52.20
	"Maricopa County, AZ"	"04013"	"40-44 years"	"40-44"	"2006"	"2006"	1315	130066	10.11
	"Maricopa County, AZ"	"04013"	"45-49 years"	"45-49"	"2006"	"2006"	71	Not Available	Not Available
	"Mohave County, AZ"	"04015"	"15-19 years"	"15-19"	"2006"	"2006"	399	5838	68.35
